id,source,reference,target,error_span,category,severity
766,2 必须选择正规厂家生产的经过国家CCC 认证的充电器,2 Choose a reputable CCC-certified charger,2 must choose the regular <v>manufacturers produced by</v> the national CCC certification of the charger,manufacturers produced by,word order,minor
767,而且商品产品包装问题，我看评论2016年就有人评论过，到现在19年，还是老样子。,"And the issue with product packaging hasn't changed in 19 years, according to comments I read in 2016, Someone left a comment about it.","Moreover, regarding the packaging of commodity products, I have seen comments from people in 2016, <v>and it</v> has been the same for 19 years now.",and it,word order,minor
768,图片没有拍出侧面的细节，侧面的细节跟主体的风格并不一致，有很大差别，这是其一；这个珠子是泰国产的，没有标明产地，这是其二；没有标明质地，这是其三；我在英国买的时候，分明每项各有盒子，这里只有一个简简单单的塑料袋，而且珠子上面没有任何的产品标志，我哪里判断得出是真是假。,"This bead is made in Thailand, but there is no indication of origin, this is two; there is no indication of texture, this is three; I purchased it in the United Kingdom, where clearly each item has a box, here there is only a simple plastic bag, and the beads lack any product logo, where I can determine whether it is true or false, The picture did not remove the side details, the side details and the main style are inconsistent, there is a significant difference, so this is one.","The picture does not capture the details of the side, the details of the side are not consistent with the style of the main body, there is a big difference, this is the first point; this bead is produced in Thailand, the place of origin is not marked, this is the second point; the texture is not marked, <v>this is the third point</v>; when I bought it in the UK, each item clearly had its own box, here there is only a simple plastic bag, and there are no product marks on the bead, how can I judge whether it is real or fake.",this is the third point,word order,minor
769,胸围99，身高184，体重84公斤，购买前咨询了客服被告知应该买xxl的，然后看了评论果断入手L的，收货后发现大小正好，差点就被坑了。,"With a bust size of 99, a height of 184, and a weight of 84 kg, I was advised to get a XXL by customer care before making my purchase, however after reading customer evaluations, I chose to purchase an L, after receiving the item, I discovered that the size was perfect, and I was almost tricked.","Bust 99, height 184, weight 84 kg, <v>I consulted the customer service before buying and was told that I should buy the xxl one, and then read the reviews and decided to buy the L one</v>. After receiving the goods, I found that the size was just right, and I was almost cheated.","I consulted the customer service before buying and was told that I should buy the xxl one, and then read the reviews and decided to buy the L one",word order,minor
770,索尼的这种低端机，设计感依旧十足，而且价格便宜，屏幕够大，续航力一级棒，给老人使用很合适。,"Sony's entry-level phone still has a solid sense of design, is reasonably priced, has a sizable screen, and has exceptional battery life, the elderly will benefit much from it.","Sony's low-end model is still in good shape, <v>and is</v> cheap, with a large screen and a high-end battery, suitable for older people.",and is,word order,minor
771,习近平指出，中国人民热爱和平、珍视生命，援外医疗就是生动的体现。,"Xi Jinping pointed out that the Chinese people love peace and cherish life, and medical aid to foreign countries is a vivid embodiment.","<v>Xi pointed out that the Chinese people love peace and value life, and foreign medical assistance is a vivid manifestation of this.</v>","Xi pointed out that the Chinese people love peace and value life, and foreign medical assistance is a vivid manifestation of this.",word order,minor
772,金正恩父女互动亲密老婆遭冷落一旁,"Kim Jong-un's father and daughter interact intimately, but his wife is ignored",Kim Jong Un father-daughter interaction intimate <v>wife was left aside</v>,wife was left aside,word order,minor
773,性价比不错，二百以下很难找到合成机油。,"The price-to-performance ratio is favorable, and finding synthetic motor oil for under 200 is challenging.","<v>Good cost performance, it is difficult to</v> find synthetic oil below 200.","Good cost performance, it is difficult to",word order,minor
774,玩起来还不错，比ps4，便携性高。,It's more portable than a PS4 and not horrible to play.,"It's pretty good to play, <v>more portable than ps4</v>.",more portable than ps4,word order,minor
775,2、使用非常简单，清洗也很方便。,"2, It is incredibly simple to use and clean.",2. <v>Very easy</v> to use and easy to clean.,Very easy,word order,minor
776,质量很好，不管是正面还是背面，都挺软的，睡眠很舒服，躺在上面很快就睡着了。,"I immediately fell asleep while lying on it since the quality is excellent, the sleep is quite nice, and it is pretty soft whether it is the front or the back.","The quality is very good, whether it is the front or the back, it is quite soft, the sleep is very comfortable, and I fell asleep quickly <v>when</v> lying on it.",when,word order,minor
777,床垫收到后因为快递暴力运输有两处有些污渍，雅兰客服很负责，很有效率的联系解决了问题。,"Due to the rough expedited transportation, there were some stains on the mattress when it was delivered.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>After receiving the mattress, there were some stains in two places due to violent transportation by the courier</v>. Eran's customer service was very responsible and efficiently contacted to resolve the issue.‏‏‏‏","After receiving the mattress, there were some stains in two places due to violent transportation by the courier",word order,minor
778,欣赏你，更想让你知道！,I value you and wish to tell you more!,"<v>I admire you, and I</v> want you to know it!","I admire you, and I",word order,minor
779,用第二片的时候选的毛孔细致的，但是一打开就一股怪味，以为是正常的，因为没用过这款，然后往脸上贴的时候就整个受不了了，非常冲的味道，无法形容，熏到立马咳嗽了出来，眼睛也很痛，流眼泪，马上摘了去洗脸。,"The pores on the second piece were fine when I used it, but there was an odd smell when I opened it, I hadn't used this one before, so I assumed it was typical, but when I placed it on my face, I couldn't tolerate it, it has a strong fragrance, I pulled it off right away to wash my face since it is so unbelievable smokey that I immediately coughed out, my eyes stung, and tears started to pour.","The pores selected with the second tablet are detailed, but when opened it is a strange smell, I think it is normal, because I have not used this, and then the face when the whole can not stand it, <v>very rushed taste, indescribable, smoked to immediately cough out</v>, the eyes are also very painful, tears, immediately picked up to wash the face.","very rushed taste, indescribable, smoked to immediately cough out",word order,minor
780,就一个压变形的箱子。,Just a box that is crumpled and distorted.,<v>Regarding a deformed box under pressure</v>.,Regarding a deformed box under pressure,word order,minor
781,欧洲Euractiv网站称，欧盟官员承认，难民接收过程每一步都存在瓶颈，有限的接收能力和成员国不堪重负的移民当局无法阻止难民在欧盟各国提交“无数”庇护申请，欧盟的难民接收系统处于近乎“永久性的危机”中。,"EU authorities acknowledge that there are bottlenecks at every stage of the refugee admission procedure, according to the European Euractiv website, a ""Permanent Crisis.""","According to the European Euractiv website, EU officials admit that there are bottlenecks in every step of the refugee admission process. <v>""Permanent Crisis.""</v>","""Permanent Crisis.""",word order,minor
782,玩起来还不错，比ps4，便携性高。,It's more portable than a PS4 and not horrible to play.,"It's not bad to play, <v>it's more portable than ps4</v>.",it's more portable than ps4,word order,minor
783,压脚背,Putting pressure on the instep,Press the instep <v>of the foot</v>.,of the foot,word order,minor
784,1. 在3 月29 号，通过预购途径使用31 元购买了此书，显示3 月31 号会推送到设备上，此时亚马逊官网上还无法预览该书（因为还未发布）；,"1. I bought the book for 31 yuan through the pre-order channel on March 29, and it says it would be delivered to my device on March 31, the book cannot be previewed on Amazon's official website at this moment (since it has not yet been released);","1. On March 29, the book was purchased for 31 yuan through pre-order, <v>showing that</v> it would be pushed to the device on March 31, and the book could not be previewed on Amazon's official website at this time (because it had not yet been released);",showing that,word order,minor
785,支持星冠，支持胜牌，对车有效保护。,"Support the winning card, the star crown, and successfully defend the vehicle.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>Support</v> the star crown, support the winning card, and effectively protect the car.‏‏‏‏‏‏‏‏‏‏‏‏‏",Support,word order,minor
786,看评论说很人性化的设计，我没有找到哪里人性化，遥控器这个常用的上下左右，返回键设计的位置实在是不敢恭维。,"Although it is described as having a very user-friendly design in the comments, I couldn't discover any examples of a human-friendly design, Up, down, left, and right are the often utilized remote control directions, and the back button's placement is actually not very attractive.","Looking at the comments, I said that it is a very user-friendly design. <v>I didn't find any user-friendly design.</v> The position of the return button design of the remote control, which is commonly used up and down, is really not flattering.",I didn't find any user-friendly design.,word order,minor
787,当时购买的时候，活动页面上是说满99元赠送“三体全集”，收到货没有这个赠品，打客服电话说要给他们看当时活动的截图，问题是谁买东西还把网页截图保存啊，你们自己做过的活动，还需要顾客帮你们提供啊，各位买家下次要留个心眼，保存证据。,"The event page stated that after I spent 99 yuan on it, I would give away the ""Complete Works of Three-Body Problem"", I didn't have this present when I got the products, when I called customer service, I promised to present the screenshots of the occurrence at hand, who purchased the items and took the website screenshots is the subject of the query, ah you see, you need consumers to give you the services you have performed for yourself, buyers should be cautious the next time and save the proof.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","When you bought it, the campaign website said that the full set of the 99 yuan gift was three-piece, the shipment was received without this gift, the customer called the customer to show them a screenshot of the event, the <v>question is</v> who bought it and saved the screenshot of the web page, you have done your own activities, you also need the customer to help you provide it, the next time you buy, keep an eye on preserving the evidence.‏‏‏‏‏‏",question is,word order,minor
788,电子书中还出现了错别字、标点符号缺失、编号错误的问题。,"The e-book also contained errors, missing punctuation marks, and improper numbers.","There are also typos, missing punctuation <v>marks</v>, and incorrect numbering in the e-book.",marks,word order,minor
789,硬盘质量非常好，性价比绝对高，比香港买还便宜，不急着用和可以忍受物流的话绝对推荐购买。,"The hard disk's quality is excellent, and the price/performance ratio is excellent, It is less expensive than purchasing in Hong Kong, It is strongly advised to purchase if you are not in a hurry and can tolerate the logistics.","<v>The quality of the hard drive is very good, the price is absolutely high, it is cheaper than buying in Hong Kong</v>, it is definitely recommended to buy it if you are not in a hurry and can withstand the logistics.","The quality of the hard drive is very good, the price is absolutely high, it is cheaper than buying in Hong Kong",word order,minor
790,由于订单是半夜下的，没可能凌晨来收快递，7点多打给客服要求取消订单，客服答复已经取消请等待短信通知。,"Because the order was placed in the middle of the night, the courier could not arrive in the early morning, I called customer service after 7 o'clock and requested that the order be cancelled, the customer support representative said that it has been canceled, and to wait for the SMS message.","Since the order was placed in the middle of the night, it is impossible to receive the express delivery in the early hours of the morning. I called the customer service after 7 o'clock to request cancellation of the order. <v>The customer service replied that it has been cancelled. </v>Please wait for the SMS notification.",The customer service replied that it has been cancelled. ,word order,minor
791,由于中西方文化背景等原因，语言之间或多或少会存在差异，如果有机会能看到作者原版相信会收获更多。,"There are more or less linguistic distinctions,, because of factors like the cultural backgrounds of Chinese and Western people, I think you will learn more if you have the chance to see the author's original work.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Due to the Chinese and Western cultural background and other reasons, there will be more or less differences between the languages, <v>if you have the opportunity to see the author's original version I believe it will gain more</v>.‏‏‏‏‏‏‏‏‏‏‏",if you have the opportunity to see the author's original version I believe it will gain more,word order,minor
792,看到这样的包裹，试问大家:觉不觉得是路边的垃圾?,I want to question everyone: Do you think this package by the side of the road is trash after seeing it?,"<v>Seeing such a package, I would like to ask everyone</v>: Do you think it is rubbish on the side of the road?","Seeing such a package, I would like to ask everyone",word order,minor
793,中国云南省人类精子库9日发出宣传，征求大专以上学历者或在校生捐精，成功捐赠8至12次可获人民币4500元补贴。,"On the 9th, the Human Sperm Bank in Yunnan Province, China, issued a promotion seeking individuals with a college degree or above, or current students, to donate sperm. It stated that individuals who successfully donate sperm 8 to 12 times would receive a subsidy of 4,500 yuan","The Human Sperm Bank of Yunnan Province<v>, China,</v> issued a call on the 9th for donations from individuals with a college degree or higher, or current students. Successful donors who donate 8 to 12 times can receive a subsidy of 4500 yuan.",", China,",word order,minor
794,即便本书不是专业的地图册，即便是小画幅插图，也应该对得起目录中祖先留下来的洋洋大观的中古文献资料！,"The exquisite medieval manuscripts left by the ancestors in the catalog should be worthy of this book, even though it is not a professional atlas and only a small-format image! ","Even if this book is not a professional atlas, <v>even if</v> it is a small-format illustration, it should be worthy of the magnificent medieval documents left by the ancestors in the catalog!",even if,word order,minor
795,从2月10日起，河南省单颗常规种植牙医疗服务价格全流程调控目标为4300元，单颗常规种植全流程费用不高于调控目标的97%。,"As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective.","From February 10, Henan Province <v>single conventional dental implant medical service price of the whole process control target of 4,300 yuan</v>, single conventional dental implant whole process cost is not higher than 97% of the control target.","single conventional dental implant medical service price of the whole process control target of 4,300 yuan",word order,minor
796,这条背带设计得比较科学，挂双肩，实用，而且胸前是用软材料固定及保护相机，不像其他快枪手那样用螺丝固定底部伤相机，而且取下摄影也很方便。,"In contrast to other fast gunners, which use screws to fix the bottom to harm the camera, this strap is more scientifically constructed, hanging from the shoulders, practical, and the chest is fixed and protected with soft material, It is also extremely easy to remove the camera from this strap.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","This strap is designed more scientifically, <v>hanging on the shoulders, practical</v>, and the chest is fixed and protected with soft material, unlike other fast gunners who use screws to fix the bottom to hurt the camera, and it is also very convenient to take off the camera.‏‏‏‏‏‏‏‏","hanging on the shoulders, practical",word order,minor
797,研讨班期间，全体学员以习近平新时代中国特色社会主义思想为指导，认真学习党的二十大精神和习近平总书记在研讨班开班式上的重要讲话，联系实际深入研讨交流，深化了对中国式现代化一系列重大理论和实践问题的认识，增强了在以习近平同志为核心的党中央坚强领导下以中国式现代化全面推进中华民族伟大复兴的信心和决心，增强了履职尽责、做好工作、确保新时代新征程良好开局的责任感和使命感。,"During the seminar, all participants were guided by Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, earnestly studied the spirit of the 20th CPC National Congress and the important speech of General Secretary Xi Jinping at the opening ceremony of the seminar, deepened their understanding of a series of major theoretical and practical issues of Chinese-style modernization, enhanced their confidence and determination to comprehensively promote the great rejuvenation of the Chinese nation with Chinese-style modernization under the strong leadership of the Party Central Committee with Comrade Xi Jinping as the core, and strengthened their sense of responsibility and mission to perform their duties and responsibilities and do their work well to ensure a good start of the new journey in the new era.","During the seminar, all participants, guided by Xi Jinping's thought on socialism with Chinese characteristics for a new era, studied the spirit of the 20th Party Congress and the important speech of General Secretary Xi Jinping at the opening ceremony of the seminar. They discussed and exchanged ideas in depth in light of practical realities, deepening their understanding of a series of major theoretical and practical issues related to Chinese-style modernization. <v>They strengthened their confidence and determination to advance the great rejuvenation of the Chinese nation under the strong leadership of the Party Central Committee with Comrade Xi Jinping at its core</v>. They also enhanced their sense of responsibility and mission to perform their duties, do their jobs well, and ensure a good start to the new era and new journey.",They strengthened their confidence and determination to advance the great rejuvenation of the Chinese nation under the strong leadership of the Party Central Committee with Comrade Xi Jinping at its core,word order,minor
798,金正恩在主席台上数次与女儿对望，两人脸上的笑容从未退去，还互相在耳边讲悄悄话，金主爱一度以双手捧起老爸的两颊，金正恩也以灿笑回应。,"Kim Jong-un looked at his daughter several times on the podium, the smiles on their faces never faded, and they whispered in each other's ears at one point, Kim Joo-ae cupped his father's cheeks with both hands, and Kim Jong-un responded with a bright smile.","Kim Jong-un looked at his daughter several times on the podium, <v>and the smiles on their faces never faded, and</v> they whispered in each other's ears. At one point, Kim Jong-un cupped his father's cheeks with his hands, and Kim Jong-un responded with a big smile.","and the smiles on their faces never faded, and",word order,minor
799,不值这个价。,Cost is not justified.,<v>Not worth</v> the price.,Not worth,word order,minor
800,A：2月3日美国劳工部公布2023年1月非农就业数据，新增非农就业51.7万人，大幅高于市场预期的18.9万人；失业率降至3.4%，为近50年以来的最低位；时薪同比增速4.4%，环比增速0.3%，略有放缓。,"A: On February 3, the U.S. Department of Labor released January 2023 nonfarm payrolls data, adding 517,000 new nonfarm jobs, significantly higher than market expectations of 189,000; the unemployment rate fell to 3.4%, the lowest in nearly 50 years; hourly earnings grew at a slightly slower rate of 4.4% year-over-year and 0.3% year-over-year.","A On February 3, the U.S. Department of Labor released non-farm employment data for January 2023, adding non-farm employment to 51 new non-farm employment. At 70, 000, it was significantly higher than the market expectations of the 18th. <v>90, 000 people.</v> Unemployment fell to 3 percent. Fourteen percent - the lowest level in nearly 50 years. Hourly earnings are increasing at a year-on-year rate of 4 per hour. It is up to 4 percent and up to 0 percent. 3, that's slightly slow down.","90, 000 people.",word order,minor
801,伊朗纪念革命周年支持抗议的黑客骇了总统电视讲话,Pro-protest hackers hack president's televised address as Iran marks revolution anniversary,"<v>Iran marks revolution anniversary, pro-protest hackers hack president's televised speech</v>","Iran marks revolution anniversary, pro-protest hackers hack president's televised speech",word order,minor
802,患者何莹：新政策之后，大夫跟我说，像我这种情况差不多就是8000多元、不到1万元，基本上能省一半。,"Persistent He Ying: With the unused arrangement, the specialist educated me that the fetched would be less than 10,000 yuan, or about 8,000 yuan, in my circumstance, which would basically result in a 50% reserve funds.","Patient He Ying: After the new policy, the doctor told me that in my case, the cost is almost more than 8,000 yuan, <v>which is less than 10,000 yuan, which can basically save half</v>.","which is less than 10,000 yuan, which can basically save half",word order,minor
803,第二从27号下单，12号收到货，总共15天也就是半个月，亚马逊的送货员服务态度也很好。,"The second thing is placing an order on the 27th and receiving the items on the 12th, a total of 15 days, or half a month, the delivery team at Amazon also has a very good customer service attitude.","The second order from the 27th, received the goods on the 12th, <v>a total of 15 days or half a month</v>, Amazon's delivery service attitude is also very good.",a total of 15 days or half a month,word order,minor
804,由于订单是半夜下的，没可能凌晨来收快递，7点多打给客服要求取消订单，客服答复已经取消请等待短信通知。,"Because the order was placed in the middle of the night, the courier could not arrive in the early morning, I called customer service after 7 o'clock and requested that the order be cancelled, the customer support representative said that it has been canceled, and to wait for the SMS message.","Because the order is in the middle of the night, it is not possible to receive the courier in the early morning, 7 o'clock call <v>the customer service to cancel the order, the customer service</v> response has been canceled please wait for the text message notification.","the customer service to cancel the order, the customer service",word order,minor
805,土耳其与相接的叙利亚发生强震以来，来自几十个国家的救援队日以继夜地在数千座震毁建筑的废墟中辛勤工作，解救被埋在瓦砾下的幸存者。,"Since the strong earthquake struck Turkey and neighboring Syria, rescue teams from dozens of countries have been tirelessly working day and night amidst the debris of thousands of collapsed buildings, striving to rescue survivors trapped under the rubble.","Since the powerful earthquake in Turkey's bordering Syria, rescue teams from dozens of countries have been working day and night <v>in the rubble of thousands of quake-damaged buildings to free survivors buried under the rubble</v>.",in the rubble of thousands of quake-damaged buildings to free survivors buried under the rubble,word order,minor
806,还没有试用，一贯信赖飞利浦，希望电池寿命比其它牌子要长一些。,"I haven't used it yet, but I always trust Philips, so I'm hoping the battery life is longer than that of other brands.","<v>Haven't tried it yet, always trust Philips, hope the battery life is longer than other brands</v>.","Haven't tried it yet, always trust Philips, hope the battery life is longer than other brands",word order,minor
807,综合韩国“朝鲜新闻”等报导，金正恩、李雪主夫妇7日带著女儿金主爱出席晚宴的官方合照中，金主爱不仅罕见坐在父母正中间C位，在隔日晚间建军节第75周年阅兵仪式上，她还与金正恩一起登上主席台。,"Based on South Korean ""North Korea News"" and other reports, in the official group photo of Kim Jong-un and Li Xuezhu with their daughter Kim Joo-ae attending the dinner on the 7th, Kim Joo-ae is not only rarely sitting in the Center seat between her parents, but also on the 75th anniversary of the Army Day the next night at the military parade, she also stood on the rostrum with Kim Jong-un.","According to reports from South Korea's “North Korea News” and other reports, <v>in the official group photo of Kim Jong-un and Lee Seok-joo attending the dinner on the 7th with their daughter Kim Joo Ae</v>, Kim Joo Ae not only rarely sits in C position in the middle of her parents; at the military parade on the 75th anniversary of Army Day the next night, she also appeared on the podium with Kim Jong-un.",in the official group photo of Kim Jong-un and Lee Seok-joo attending the dinner on the 7th with their daughter Kim Joo Ae,word order,minor
808,有一点不太好的，就是金色的线，本来设计出来是觉得好看，但实际上，这个金线会掉色，往车上一放，如果拿动几次，手上，和车上，会有一些金粉。,"The gold thread is one item that is not ideal, although the gold thread was intended to appear attractive, it will eventually deteriorate, there will be some issues in your hands and on the car if you put it on the car and hold it a few times, a little gold dust.","<v>It is not a good thing that the gold line was designed to look good, but in fact, the gold line will fade and be placed in the car,</v> if you touch it a few times, your hands, and the car, there will be some gold powder.","It is not a good thing that the gold line was designed to look good, but in fact, the gold line will fade and be placed in the car,",word order,minor
809,推进中国式现代化涉及经济、政治、文化、社会、生态文明等各个领域，关系治党治国治军、内政外交国防等方方面面，既要做好系统谋划，又要勇于改革创新，不断实现整体推进。,"Promoting Chinese-style modernization involves economic, political, cultural, social, ecological civilization and other fields, this is related to all aspects of governing the party, the state, the military, domestic and foreign affairs and national defense,  It is necessary to do a good job of systematic planning, but also the courage to reform and innovation, and constantly achieve overall advancement.","The advancement of Chinese-style modernization in all fields such as economy, politics, culture, society, ecological civilization, <v>relations with party and state governance, military, domestic and foreign affairs, and defense, etc., requires systematic planning, as well as courage to reform and innovate, and constantly realize comprehensive advancement</v>.","relations with party and state governance, military, domestic and foreign affairs, and defense, etc., requires systematic planning, as well as courage to reform and innovate, and constantly realize comprehensive advancement",word order,minor
810,第二从27号下单，12号收到货，总共15天也就是半个月，亚马逊的送货员服务态度也很好。,"The second thing is placing an order on the 27th and receiving the items on the 12th, a total of 15 days, or half a month, the delivery team at Amazon also has a very good customer service attitude.","The second is to place an order on the 27th and receive the goods on the 12th, a total of 15 days, which is half a month. The <v>service attitude of Amazon's delivery staff is also very good</v>.",service attitude of Amazon's delivery staff is also very good,word order,minor
811,且成书时间较早，后来的支付宝微信借补贴大战培养用户习惯的内容还没提及，如今的第三方支付份额只怕已不是书中所说的占比这么小了吧。,"Because the book was written earlier, it does not include information about Alipay and WeChat's subsidy war to shape user habits, the third-party payment share in use today is most likely not as low as the book claimed.","<v>And the book time is earlier</v>, the later Alipay WeCredit subsidy war to cultivate user habits content has not been mentioned, today's third-party payment share is just not the proportion said in the book so small.",And the book time is earlier,word order,minor
812,交往了快3年，就这样于去年离我而去了，到现在一想起她，就心痛的想要离开这个世界，人生中第一个女人，带给我一辈子的阴影和心痛，迄今还没能走出来。,"Almost 3 years of romance, so she left me last year, and now when I think of her, I want to quit the world, the first lady in my life, given me a lifetime of darkness and pain, and I have not been able to get out of it so far.","Dating almost 3 years, so last year left me, to the present when I think of her, I want to leave the world of heartache, <v>the first woman in life, brought me a lifetime of shadows and heartache</v>, so far have not been able to come out.","the first woman in life, brought me a lifetime of shadows and heartache",word order,minor
813,"一直在用925-25,非常棒，刚收到925-85，笔的质量没的说，样式也非常漂亮，之所以给四星是因为笔有点重，不适合快速写字，笔帽调节铅芯长度处有点晃动，个人意见：925-25要比85更顺手。","I've been utilizing 925-25, which is excellent, I recently got 925-85, The pen is of outstanding quality, and it also has a stunning aesthetic, the pen is a bit hefty and not suited for writing quickly, which is why I only rated it four stars, the lead length can be altered by the cap, 925-25 is smoother than 85, in my perspective, therefore, the place is a little shaky.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","925-25 has been used, very good, just received 925-85, the quality of the pen is not good, the style is also very beautiful, the reason for giving four stars is that the pen is a bit heavy, not suitable for quick writing, <v>the pen hat adjusts</v> the length of the lead lead core a little shaking, personal opinion: 925-25 is more comfortable than 85.",the pen hat adjusts,word order,minor
814,被列入黑名单的公司是：北京南江空天科技股份有限公司、中国电子科技集团第四十八研究所、东莞凌空遥感科技有限公司、鹰门航空科技集团有限公司、广州天海翔航空科技有限公司和山西鹰门航空科技集团有限公司。,"The company that has been included in the blacklisted list is: Beijing Nanjiang Kongtian Technology Co Ltd, the 48th Research Institute of China Electronic Technology Group, Dongguan Lingkong Remote Senior  Sensors  Company and Shanxi Yingmen Aviation Technology Group Co Ltd.","The blacklisted companies are: Beijing Nanjiang Air & Space Technology Co., Ltd, China Electronics Technology Group Forty-eighth Research Institute, Dongguan Lingkong Remote Sensing Technology Co., Ltd, Eagle Gate Aeronautical Science & Technology Group Co., Ltd, Guangzhou Tianhaixiang Aeronautical Science & Technology Co., Ltd and Shanxi Eagle Gate Aeronautical Science &<v> </v>Technology Group Co.", ,addition,minor
815,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","North Korean state media released a video on the 9th. Top gifter loves to snuggle up to her father, looking at each other warmly and whispering several times. She gently holds her father's cheek with both hands, and even touches her father's chest. The interactive picture of father and daughter is broadcast all over the country <v>and below</v>.",and below,addition,minor
816,尽管莫德罗进行了改革，但反对者指责他试图推迟1990 年10 月发生的政治变革和统一。,"Despite Modrow's reforms, opponents accused him of attempting to delay the political changes and reunification scheduled for October 1990.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Despite Modrow's reforms, opponents accused him of trying to delay the political change and unification that occurred in October 1990.3 <v>The government's efforts to reform the country's political system have been a major challenge to the country's economy.</v>‏‏‏‏‏‏‏‏‏‏‏",The government's efforts to reform the country's political system have been a major challenge to the country's economy.,addition,minor
817,垃圾售后,Poor post-purchase support,Poor after-sales service<v>.</v>,.,addition,minor
818,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is not delivered by Amazon, and Amazon is not responsible after the sale. The customer service actually said “I'll help you contact the supplier,” but they <v>also</v> claim that they are self-employed. It's so shameless. It's blatantly shameless, and blatantly defrauded consumers!‏‏‏‏‏‏‏‏‏‏‏‏",also,addition,minor
819,用了一段时间，总体来说画面还可以，感觉不出什么差别来，就是这个系统让人看着纠结，开机时间明显有点慢，也没法进行很好的设置，再带的软件更是不用评论了，响应速度那就更一般了，和同事家的比起来那不是一个数量级的。,"After using it for a while, I can't really see the difference, but overall the picture is not horrible, however this system makes people look jumbled, boots up slowly, I can't make proper settings, and the software I bring is not required, when compared to my colleagues' responses, the response time is not significantly slower after commenting.","Used for a period of time, the overall picture is OK, do not feel any difference, that is, the system makes people look tangled, boot time is obviously a little slow, can not be set up well, and then the software does not need to be commented on, the response speed that is more general, and colleagues compared to the home that is not an order of magnitude. <v>Compared with colleagues, it is not an order of magnitude.</v>","Compared with colleagues, it is not an order of magnitude.",addition,minor
820,东西完好，速度可以，分2个包裹还不同包装,"The goods are in good shape, and the delivery time is adequate, they come in 2 separate bundles that are broken up differently",The items are in good condition and the speed is OK. They are divided into 2 packages and packaged differently<v>.</v>,.,addition,minor
821,输入参数:5 一500mA,Input parameters: 5 to 500mA,Input parameters: 5-500mA<v>.</v>,.,addition,minor
822,删除了附录”追加的汉字及部首/部件“ 见2005 年版的附录〇，,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,","The appendix ”Additional Chinese characters and radicals/parts"" has been deleted. See Appendix 〇 of the 2005 edition. <v>，</v>",，,addition,minor
823,说是牛皮的，也确实比较硬，但仔细看的话，局部有很多细小的裂痕，搞不清楚是否是真皮的，另外这个衣服的袖子真是让人无法理解，通常夹克的袖子要比衣摆长一些，不过通常也就1-2厘米，这件衣服足足长了5厘米，手臂自然下垂应该在手掌虎口的位置，但这件衣服的袖子都盖过手指了。,"Although it is stated to be made of cowhide and is in fact fairly hard, if you look closely, you will notice that there are numerous tiny fractures in the surrounding area, making it unclear whether the leather is real, additionally, the sleeves on this garment are completely puzzling, the sleeves of coats are typically 1-2 centimeters longer than the hem of the clothing; however, the sleeves of this dress are a full 5 centimeters long, as a result, the arms should naturally hang down in the palm of the hand, but the sleeves of this dress cover the fingers.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It is said to be made of cowhide, and it is indeed relatively hard, but if you look closely, there are many small cracks in the local area, and it is not clear whether it is genuine leather. In addition, the sleeves of this dress are really incomprehensible. Usually, the sleeves of jackets are longer than the hem of the clothes. <v>,</v> but usually only 1-2 centimeters, this dress is a full 5 centimeters long, the arms should naturally hang down in the palm of the hand, but the sleeves of this dress cover the fingers.‏‏‏‏‏‏‏‏‏‏‏‏‏",",",addition,minor
